MVC,MVCT,MVC_Escalar,MVC_Percentil,MVCT_Escalar,MVCT_Percentil,
0,0,1,1,1,1,
1,1,2,1,1,1,
2,2,3,1,1,1,
3,3,3,1,1,1,
4,4,4,1,2,1,
5,5,4,1,2,1,
6,6,5,5,3,1,
7,7,6,10,3,1,
8,8,8,30,3,1,
9,9,15,95,3,1,
10,10,15,95,3,1,
11,11,15,95,3,1,
12,12,15,95,3,1,
13,13,15,95,3,1,
14,14,15,95,3,1,
15,15,15,95,3,1,
16,16,15,95,4,1,
17,17,15,95,4,1,
18,18,15,95,4,1,
19,19,15,95,4,1,
20,20,15,95,4,1,
21,21,15,95,5,5,
22,22,15,95,6,10,
23,23,15,95,6,10,
24,24,15,95,9,40,
25,25,15,95,10,50,
26,26,15,95,11,60,
27,27,15,95,15,95,